timestamp,question,matched,best_score,category
2026-05-30T12:43:00,情報システム管理規定の１３条は何ですか？,1,0.9156032834234815,doc_rag:xlsx
2026-05-30T13:17:01,情報システム管理規定の１３条は何ですか？,1,2.0,doc_rag:docx
2026-05-30T13:38:26,顧客の領域作成の申請書はどれですか？,1,0.99,doc_rag:xlsx
2026-05-30T16:48:22,顧客の領域作成の申請書はどれですか？,1,0.99,doc_rag:xlsx
2026-05-30T17:13:51,顧客の領域作成の申請書はどれですか？,1,0.99,doc_rag:xlsx
2026-05-30T17:18:53,顧客の領域作成の申請書はどこですか？3行で要約してください,1,0.99,doc_rag:xlsx
2026-05-30T17:32:45,顧客の領域作成の申請書はどこですか？3行で要約してください,1,3.0,doc_rag:xlsx
2026-05-30T17:40:54,情報システム管理規定の１３条は何ですか？,1,2.0,doc_rag:docx
2026-05-30T17:47:15,情報システム管理規定の２１条は何ですか？,1,2.0,doc_rag:docx
2026-05-30T17:54:20,情報システム責任者はなにを行うのか？,1,0.9437272195116087,doc_rag:docx
2026-05-30T09:03:57,情報システム管理規定の１３条は何ですか？,1,0.9156032834234815,第13条 規程の通知方法
2026-05-30T09:05:09,パソコンの電源がつかない,1,0.9594587802826708,PC本体
