timestamp,question,matched,best_score,category
2026-05-27T22:37:19,担当役員とは？ 社内の担当役員とはどんな事を行いますか？,1,0.868793785572052,doc_rag:pdf
2026-05-27T22:41:27,機密保持契約はありますか？,1,0.3004511856390098,doc_rag:xlsx
2026-05-27T22:47:23,ファイルのバックアップは定期的に実施していますか？,1,0.36274537416368247,doc_rag:xlsx
2026-05-27T22:56:01,パソコンのログインパスワードは何桁など規制はありますか？,1,0.578647895742205,doc_rag:xlsx
2026-05-27T22:57:20,パスワードのルールはありますか？,1,0.9447380804689398,アカウント管理
2026-05-27T23:19:52,パスワードのルールはありますか？,1,0.9447380804689398,doc_rag:xlsx
2026-05-27T23:38:57,顧客の領域作成の申請書はどれですか？,1,0.99,doc_rag:xlsx
2026-05-27T23:43:05,担当役員はどのような事を行いますか？,1,0.8662962913513184,doc_rag:pdf
2026-05-27T23:51:29,担当役員はどのような事を行いますか？,1,0.8662962913513184,doc_rag:pdf
2026-05-27T23:53:04,顧客の領域作成の申請書はどれですか？,1,0.99,doc_rag:xlsx
