timestamp,question,matched,best_score,category
2026-05-02T07:15:59,アプリ インストール,1,0.8390071988105774,doc_rag:xlsx
2026-05-02T07:17:08,アプリインストール,1,0.8363718390464783,doc_rag:xlsx
2026-05-02T07:21:09,アプリ インストール,1,0.9425807981771441,モバイル端末
2026-05-02T07:23:18,アプリインストール依頼,1,1.2709749020712344,アカウント・権限
2026-05-02T07:23:48,インストール依頼 アプリ,1,0.8530803918838501,doc_rag:xlsx
2026-05-02T07:29:16,アプリ インストール,1,0.73,アカウント・権限
2026-05-02T07:35:17,アプリ インストール,1,0.73,アカウント・権限
2026-05-02T07:36:25,ログイン,1,0.832059383392334,doc_rag:xlsx
2026-05-02T07:36:56,ログインできません,1,0.99,アカウント管理
2026-05-02T07:42:05,ディスプレイが映らない,1,0.8282836675643921,doc_rag:pdf
2026-05-02T07:49:57,画面黒い PC,0,0.842087984085083,
2026-05-02T07:54:02,画面黒い,1,0.8295395970344543,doc_rag:pdf
2026-05-02T07:57:29,モニター死んだ アプリ,1,0.8260890245437622,doc_rag:xlsx
2026-05-02T07:58:40,アプリ インストール,1,0.73,アカウント・権限
2026-05-02T08:12:25,モニタ死んだ,1,0.96,周辺機器
2026-05-02T08:12:34,モニタ死んだ,1,0.96,周辺機器
2026-05-02T08:17:38,アプリ インストール,1,0.73,アカウント・権限
2026-05-02T08:27:11,アプリ インストール,1,0.73,アカウント・権限
2026-05-02T09:28:04,アプリ インストール,1,0.73,アカウント・権限
2026-05-02T09:34:16,アプリインストールできない,1,0.51,アカウント・権限
2026-05-02T09:35:10,お腹減った お腹減った,1,0.7967011332511902,doc_rag:xlsx
2026-05-02T09:42:09,お腹減った 自分の部屋,1,0.8011119365692139,doc_rag:pdf
2026-05-02T09:49:15,パソコンの 電源がつかない 昨日から。ログイン画面までいきません,1,0.77,PC本体
