timestamp,question,device,location,network,error_text,impact,channel
2026-04-12T00:05:26,ねむい,,,,,,
2026-04-12T10:46:48,ねむい,,,,,,
2026-04-12T10:48:07,お昼は？,,,,,,
2026-04-12T10:48:22,めし,,,,,,
2026-04-12T10:48:40,花粉しょうですが・・,,,,,,
2026-04-12T11:04:14,ねむい,,,,,,
2026-04-12T11:23:41,ねむい,,,,,,
2026-04-12T11:25:49,だいる,,,,,,
2026-04-12T11:26:02,ねむい,,,,,,
2026-04-12T13:03:02,ねむい,,,,,,
2026-04-12T13:14:54,ねむい,,,,,,
2026-04-12T14:17:51,ねむい,,,,,,
2026-04-12T14:27:01,ねむい,,,,,,
2026-04-12T14:41:54,ねむい,,,,,,
2026-04-12T14:49:06,ねむい,,,,,,
2026-04-12T15:04:53,ねむい,,,,,,
2026-04-12T15:11:08,ねむい,,,,,,
2026-04-12T15:21:27,あああ,,,,,,
2026-04-12T15:34:33,あｄｄｄ,,,,,,
2026-04-12T15:47:25,nemu,,,,,,
2026-04-12T16:02:44,申請書おしえて,,,,,,
2026-04-12T16:42:47,ああささ,,,,,,
2026-04-12T17:00:43,あｓだｓ,,,,,,web
