timestamp,question,matched,best_score,category
2026-05-10T11:01:15,アカウントがロックされました,1,0.99,アカウント管理
2026-05-10T11:02:08,パスワードを忘れました,1,0.99,アカウント管理
2026-05-10T11:12:18,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T13:27:02,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T14:14:56,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T14:18:34,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T14:24:47,アカウントがロックされました,1,0.99,アカウント管理
2026-05-10T14:28:48,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T05:35:16,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T14:36:08,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T16:54:10,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T07:54:41,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T16:55:16,アプリインストール申請,1,0.96,申請書・アプリ
2026-05-10T17:09:24,アプリインストール申請,1,0.8200000000000001,申請書・アプリ
2026-05-10T17:24:26,アプリインストール申請,1,0.96,申請書・アプリ
