timestamp,question,device,location,network,error_text,impact,channel
2026-05-05T01:36:59,ポケファイが繋がらない 社内でずっと,,,,,,
2026-05-05T14:50:17,ポケファイが繋がらない 減った,,,,,,
2026-05-05T15:57:39,減った 腹,,,,,,
2026-05-05T16:01:57,ポケットウィフィ ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:02:15,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:03:04,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:27:16,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:28:58,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:30:28,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:36:20,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:38:55,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:48:40,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T16:57:33,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T17:10:28,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T17:28:16,申請書について教えてください。,,,,,,
2026-05-05T17:31:54,申請書について教えてください。,,,,,,
2026-05-05T17:32:56,申請書,,,,,,
2026-05-05T17:35:49,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T17:35:58,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T17:36:14,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T17:36:52,テレワーク,,,,,,
2026-05-05T17:43:05,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T17:43:28,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T17:44:06,インストール,,,,,,
2026-05-05T17:51:58,今日はしんどい,,,,,,
2026-05-05T17:58:53,今日はしんどい 朝から,,,,,,
2026-05-05T18:00:14,温泉いきたい 昨日から,,,,,,
2026-05-05T18:00:36,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T18:01:41,パソコンがロック,,,,,,
2026-05-05T20:46:53,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T20:58:27,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T21:08:14,ポケットWIFIが使えなくなった。,,,,,,
2026-05-05T21:12:17,ポケットWIFIが使えなくなった。,,,,,,web
